"location","date","total_cases","population","death_percentage_over_population"
"Asia","2020-01-22","556","4639847425","1.1983152657223422e-05"
"Asia","2020-01-23","654","4639847425","1.4095291075223233e-05"
"Asia","2020-01-24","937","4639847425","2.0194629568018608e-05"
"Asia","2020-01-25","1428","4639847425","3.07768740908544e-05"
"Asia","2020-01-26","2105","4639847425","4.536787112132249e-05"
"Asia","2020-01-27","2912","4639847425","6.276068442056582e-05"
"Asia","2020-01-28","5558","4639847425","0.00011978842170656076"
"Asia","2020-01-29","6143","4639847425","0.00013239659491604943"
"Asia","2020-01-30","8208","4639847425","0.0001769023687239026"
"Asia","2020-01-31","9889","4639847425","0.0002131320083224504"
"Asia","2020-02-01","11991","4639847425","0.0002584352221452627"
"Asia","2020-02-02","16738","4639847425","0.00036074462082123315"
"Asia","2020-02-03","19827","4639847425","0.0004273200858539006"
"Asia","2020-02-04","23836","4639847425","0.0005137237890963624"
"Asia","2020-02-05","27579","4639847425","0.0005943945452042531"
"Asia","2020-02-06","30737","4639847425","0.0006624571281026552"
"Asia","2020-02-07","34264","4639847425","0.0007384725587178117"
"Asia","2020-02-08","36989","4639847425","0.0007972029381979086"
"Asia","2020-02-09","40013","4639847425","0.0008623774950961885"
"Asia","2020-02-10","42551","4639847425","0.0009170775696358161"
"Asia","2020-02-11","44589","4639847425","0.0009610014277570775"
"Asia","2020-02-12","44966","4639847425","0.0009691266949365258"
"Asia","2020-02-13","60117","4639847425","0.001295667604845864"
"Asia","2020-02-14","66599","4639847425","0.0014353704744935658"
"Asia","2020-02-15","68674","4639847425","0.0014800917726297865"
"Asia","2020-02-16","70787","4639847425","0.0015256320632138028"
"Asia","2020-02-17","72721","4639847425","0.001567314468320044"
"Asia","2020-02-18","74515","4639847425","0.0016059795328291426"
"Asia","2020-02-19","74935","4639847425","0.0016150315546205705"
"Asia","2020-02-20","75480","4639847425","0.0016267776305165897"
"Asia","2020-02-21","76088","4639847425","0.0016398815096813231"
"Asia","2020-02-22","77807","4639847425","0.0016769301417276668"
"Asia","2020-02-23","78030","4639847425","0.0016817363342502582"
"Asia","2020-02-24","78517","4639847425","0.0016922323690417471"
"Asia","2020-02-25","79260","4639847425","0.0017082458266394396"
"Asia","2020-02-26","80059","4639847425","0.001725466220475989"
"Asia","2020-02-27","81151","4639847425","0.0017490014771337013"
"Asia","2020-02-28","82230","4639847425","0.001772256552164536"
"Asia","2020-02-29","83720","4639847425","0.001804369677091268"
"Asia","2020-03-01","85317","4639847425","0.0018387889123315298"
"Asia","2020-03-02","86700","4639847425","0.0018685959269447315"
"Asia","2020-03-03","88568","4639847425","0.0019088558714837481"
"Asia","2020-03-04","89798","4639847425","0.0019353653638729295"
"Asia","2020-03-05","91084","4639847425","0.001963081792500968"
"Asia","2020-03-06","93120","4639847425","0.002006962545756556"
"Asia","2020-03-07","94876","4639847425","0.0020448086178178585"
"Asia","2020-03-08","96078","4639847425","0.0020707146420876114"
"Asia","2020-03-09","96986","4639847425","0.0020902842511033646"
"Asia","2020-03-10","98175","4639847425","0.00211591009374624"
"Asia","2020-03-11","99896","4639847425","0.002153001830658257"
"Asia","2020-03-12","101255","4639847425","0.002182291586883377"
"Asia","2020-03-13","103076","4639847425","0.002221538567079067"
"Asia","2020-03-14","104984","4639847425","0.0022626606089315533"
"Asia","2020-03-15","106927","4639847425","0.0023045369859333253"
"Asia","2020-03-16","108650","4639847425","0.0023416718277110156"
"Asia","2020-03-17","110644","4639847425","0.002384647378787461"
"Asia","2020-03-18","112781","4639847425","0.0024307049277595585"
"Asia","2020-03-19","114921","4639847425","0.0024768271340301668"
"Asia","2020-03-20","117624","4639847425","0.0025350833599878555"
"Asia","2020-03-21","120181","4639847425","0.002590192930751381"
"Asia","2020-03-22","123415","4639847425","0.002659893498545375"
"Asia","2020-03-23","126490","4639847425","0.0027261672295183286"
"Asia","2020-03-24","130109","4639847425","0.0028041654839544646"
"Asia","2020-03-25","135521","4639847425","0.0029208072504668618"
"Asia","2020-03-26","141243","4639847425","0.0030441302711586467"
"Asia","2020-03-27","148354","4639847425","0.0031973896210606536"
"Asia","2020-03-28","155554","4639847425","0.00335256713748513"
"Asia","2020-03-29","162794","4639847425","0.003508606751223075"
"Asia","2020-03-30","170050","4639847425","0.0036649912038864076"
"Asia","2020-03-31","179033","4639847425","0.003858596708058779"
"Asia","2020-04-01","187619","4639847425","0.004043645896394966"
"Asia","2020-04-02","196759","4639847425","0.004240635132522703"
"Asia","2020-04-03","205499","4639847425","0.004429003395515748"
"Asia","2020-04-04","214482","4639847425","0.0046226088996881185"
"Asia","2020-04-05","224399","4639847425","0.004836344376129997"
"Asia","2020-04-06","234394","4639847425","0.005051760942333142"
"Asia","2020-04-07","243961","4639847425","0.0052579530672821635"
"Asia","2020-04-08","253866","4639847425","0.005471429914530002"
"Asia","2020-04-09","264087","4639847425","0.005691717330554248"
"Asia","2020-04-10","275214","4639847425","0.005931531250728574"
"Asia","2020-04-11","287215","4639847425","0.006190181997202203"
"Asia","2020-04-12","298845","4639847425","0.006440836791093405"
"Asia","2020-04-13","310394","4639847425","0.0066897458379248315"
"Asia","2020-04-14","321865","4639847425","0.006936973794994993"
"Asia","2020-04-15","333246","4639847425","0.007182262033109849"
"Asia","2020-04-16","345618","4639847425","0.007448908732165907"
"Asia","2020-04-17","358388","4639847425","0.007724133299490984"
"Asia","2020-04-18","370509","4639847425","0.007985370337905024"
"Asia","2020-04-19","382779","4639847425","0.008249818688811734"
"Asia","2020-04-20","396772","4639847425","0.008551401881496135"
"Asia","2020-04-21","410450","4639847425","0.008846196057836967"
"Asia","2020-04-22","422646","4639847425","0.00910904952871376"
"Asia","2020-04-23","435427","4639847425","0.009384511172800042"
"Asia","2020-04-24","448444","4639847425","0.009665059191035792"
"Asia","2020-04-25","460449","4639847425","0.009923796147240769"
"Asia","2020-04-26","471956","4639847425","0.010171799991893053"
"Asia","2020-04-27","483041","4639847425","0.010410708709888236"
"Asia","2020-04-28","494950","4639847425","0.010667376632540887"
"Asia","2020-04-29","507886","4639847425","0.010946178903716861"
"Asia","2020-04-30","520964","4639847425","0.011228041620355653"
"Asia","2020-05-01","534121","4639847425","0.011511606979188545"
"Asia","2020-05-02","546198","4639847425","0.011771895710557766"
"Asia","2020-05-03","558874","4639847425","0.012045094349196192"
"Asia","2020-05-04","573131","4639847425","0.01235236738414949"
"Asia","2020-05-05","588334","4639847425","0.01268002902056634"
"Asia","2020-05-06","603756","4639847425","0.013012410639774432"
"Asia","2020-05-07","619422","4639847425","0.013350051052594687"
"Asia","2020-05-08","636231","4639847425","0.013712325896147329"
"Asia","2020-05-09","651644","4639847425","0.014044513543459891"
"Asia","2020-05-10","669599","4639847425","0.014431487475043426"
"Asia","2020-05-11","686169","4639847425","0.01478861128714809"
"Asia","2020-05-12","703191","4639847425","0.015155476798894955"
"Asia","2020-05-13","720423","4639847425","0.015526868321537535"
"Asia","2020-05-14","741038","4639847425","0.01597117172446678"
"Asia","2020-05-15","758502","4639847425","0.01634756341152748"
"Asia","2020-05-16","778436","4639847425","0.016777189607694913"
