"location","date","total_cases","total_deaths","death_percentage"
"Asia","2020-01-22","556","17","3.0575539568345325"
"Asia","2020-01-23","654","18","2.7522935779816518"
"Asia","2020-01-24","937","26","2.774813233724653"
"Asia","2020-01-25","1428","42","2.941176470588235"
"Asia","2020-01-26","2105","56","2.660332541567696"
"Asia","2020-01-27","2912","82","2.815934065934066"
"Asia","2020-01-28","5558","131","2.3569629363080247"
"Asia","2020-01-29","6143","133","2.1650659286993323"
"Asia","2020-01-30","8208","171","2.083333333333333"
"Asia","2020-01-31","9889","213","2.153908383051876"
"Asia","2020-02-01","11991","259","2.1599532983070637"
"Asia","2020-02-02","16738","362","2.162743457999761"
"Asia","2020-02-03","19827","426","2.148585262520805"
"Asia","2020-02-04","23836","492","2.0641047155563013"
"Asia","2020-02-05","27579","564","2.045034265201784"
"Asia","2020-02-06","30737","634","2.0626606370172755"
"Asia","2020-02-07","34264","719","2.0984123278076114"
"Asia","2020-02-08","36989","806","2.1790261969774796"
"Asia","2020-02-09","40013","906","2.264264114162897"
"Asia","2020-02-10","42551","1013","2.380672604639139"
"Asia","2020-02-11","44589","1113","2.496131332839938"
"Asia","2020-02-12","44966","1118","2.4863229995996976"
"Asia","2020-02-13","60117","1371","2.280552921802485"
"Asia","2020-02-14","66599","1523","2.286821123440292"
"Asia","2020-02-15","68674","1665","2.42449835454466"
"Asia","2020-02-16","70787","1769","2.4990464350798876"
"Asia","2020-02-17","72721","1867","2.5673464336299006"
"Asia","2020-02-18","74515","2007","2.693417432731665"
"Asia","2020-02-19","74935","2122","2.8317875492093147"
"Asia","2020-02-20","75480","2245","2.974297827239004"
"Asia","2020-02-21","76088","2248","2.954473767216907"
"Asia","2020-02-22","77807","2454","3.153957870114514"
"Asia","2020-02-23","78030","2463","3.1564782775855442"
"Asia","2020-02-24","78517","2619","3.3355833768483256"
"Asia","2020-02-25","79260","2696","3.4014635377239464"
"Asia","2020-02-26","80059","2753","3.4387139484630085"
"Asia","2020-02-27","81151","2791","3.4392675382928126"
"Asia","2020-02-28","82230","2844","3.458591754834002"
"Asia","2020-02-29","83720","2904","3.468705207835643"
"Asia","2020-03-01","85317","2952","3.4600372727592394"
"Asia","2020-03-02","86700","3017","3.479815455594002"
"Asia","2020-03-03","88568","3061","3.4561015265107033"
"Asia","2020-03-04","89798","3122","3.4766921312278667"
"Asia","2020-03-05","91084","3169","3.479206007641298"
"Asia","2020-03-06","93120","3223","3.461125429553265"
"Asia","2020-03-07","94876","3275","3.4518740250432147"
"Asia","2020-03-08","96078","3361","3.4981993796706843"
"Asia","2020-03-09","96986","3432","3.53865506361743"
"Asia","2020-03-10","98175","3508","3.5732111026228677"
"Asia","2020-03-11","99896","3605","3.6087531032273565"
"Asia","2020-03-12","101255","3703","3.657103352920844"
"Asia","2020-03-13","103076","3807","3.6933912841010517"
"Asia","2020-03-14","104984","3929","3.7424750438162007"
"Asia","2020-03-15","106927","4060","3.796982988393951"
"Asia","2020-03-16","108650","4211","3.8757478140819144"
"Asia","2020-03-17","110644","4370","3.949604135786848"
"Asia","2020-03-18","112781","4558","4.041460884368821"
"Asia","2020-03-19","114921","4733","4.11848139156464"
"Asia","2020-03-20","117624","4909","4.173467999727946"
"Asia","2020-03-21","120181","5065","4.214476497948927"
"Asia","2020-03-22","123415","5274","4.273386541344245"
"Asia","2020-03-23","126490","5430","4.292829472685588"
"Asia","2020-03-24","130109","5600","4.304083499219885"
"Asia","2020-03-25","135521","5794","4.275352159443924"
"Asia","2020-03-26","141243","6038","4.274902119043068"
"Asia","2020-03-27","148354","6251","4.213570244145759"
"Asia","2020-03-28","155554","6464","4.155470126129833"
"Asia","2020-03-29","162794","6680","4.103345332137548"
"Asia","2020-03-30","170050","6890","4.051749485445457"
"Asia","2020-03-31","179033","7136","3.9858573559064534"
"Asia","2020-04-01","187619","7439","3.96495024491123"
"Asia","2020-04-02","196759","7731","3.92917223608577"
"Asia","2020-04-03","205499","8017","3.9012355291266627"
"Asia","2020-04-04","214482","8328","3.882843315522981"
"Asia","2020-04-05","224399","8634","3.847610729103071"
"Asia","2020-04-06","234394","8948","3.8175038610203336"
"Asia","2020-04-07","243961","9236","3.785851017170777"
"Asia","2020-04-08","253866","9543","3.7590697454562645"
"Asia","2020-04-09","264087","9905","3.7506579271225013"
"Asia","2020-04-10","275214","10262","3.728734730064604"
"Asia","2020-04-11","287215","10624","3.698971154013544"
"Asia","2020-04-12","298845","11024","3.6888688115912935"
"Asia","2020-04-13","310394","11358","3.6592202168856356"
"Asia","2020-04-14","321865","11754","3.6518416106131455"
"Asia","2020-04-15","333246","12077","3.6240495009692535"
